Unnamed: 0,Category,Title,Webindex,Company,Description,StemmedTitle,StemmedDescription
10.0,Healthcare_Nursing,ICU Registered Nurse  Central London,72609755,HCL Permanent.,"ICU Registered Nurse  Central London HCL Permanent is working in conjunction with a leading private hospital in Central London to recruit an experienced Registered Nurse to work in their ICU. Internationally renowned for providing high quality care across a wide range of specialities, this position provides an exciting challenge for an enthusiastic ICU Staff Nurse looking to excel in their career. General Responsibilities: Deputising for Senior Staff Nurse in their absence Asses, plan and deliver high standards of critical care nursing Supervise and direct junior staff Assist medical staff in performing clinical procedures Plan discharges from admissions, liaising with the multidisciplinary team, other departments and community services as necessary Requirements: NCM registered Significant experience in ICU Benefits: Continuous training and development Employee discount (Dental Insurance, Gym Membership, High Street Retailers) Private healthcare insurance Life Insurance Contributory money purchase pension scheme To apply for this position please forward your CV to aaron.smithhclpermanent.com or contact Aaron Smith on **** EXT ****",icu regist nurs central london,"icu regist nurs central london hcl perman is work in conjunct with a lead privat hospit in central london to recruit an experienc regist nurs to work in their icu . intern renown for provid high qualiti care across a wide rang of special , thi posit provid an excit challeng for an enthusiast icu staff nurs look to excel in their career . gener respons : deputis for senior staff nurs in their absenc ass , plan and deliv high standard of critic care nurs supervis and direct junior staff assist medic staff in perform clinic procedur plan discharg from admiss , liais with the multidisciplinari team , other depart and commun servic as necessari requir : ncm regist signific experi in icu benefit : continu train and develop employe discount ( dental insur , gym membership , high street retail ) privat healthcar insur life insur contributori money purchas pension scheme to appli for thi posit pleas forward your cv to aaron.smithhclpermanent.com or contact aaron smith on * * * * ext * * * *"
11.0,Healthcare_Nursing,Orthopaedic Clinical Nurse Specialist,72609591,HCL Permanent,HCL Permanent requires a Clinical Nurse Specialist in Orthopaedics. A fantastic opportunity has arisen working for our client in Central London. Responsibility: Educational resource for patients and their families Support implementation of new services Identify areas of service development Accountable for clinical practice within your clinical area Deliver the highest level of nursing care. Requirements: NMC registration Post registration experience  3 years Senior Level nursing in Orthopaedics. Orthopaedic post grad qualification Mentorship course Audit and management experience Ability to work independently and as part of a team. This is a fantastic opportunity to work for a internationally recognised hospital. For more information please contact Stephanie Thunder at HCL Permanent on **** **** **** Email: stephanie.thunderhclplc.com,orthopaed clinic nurs specialist,hcl perman requir a clinic nurs specialist in orthopaed . a fantast opportun ha arisen work for our client in central london . respons : educ resourc for patient and their famili support implement of new servic identifi area of servic develop account for clinic practic within your clinic area deliv the highest level of nurs care . requir : nmc registr post registr experi 3 year senior level nurs in orthopaed . orthopaed post grad qualif mentorship cours audit and manag experi abil to work independ and as part of a team . thi is a fantast opportun to work for a intern recognis hospit . for more inform pleas contact stephani thunder at hcl perman on * * * * * * * * * * * * email : stephanie.thunderhclplc.com
12.0,Healthcare_Nursing,Staff Nurse x**** RGN Heathfield ******** p/h,70763481,SYK Recruitment,"SYK Recruitment Specialists are looking for Staff Nurses to join a medium sized care home in Heathfield. You must be RGN qualified. Please note previous experience working in a nursing home is not required and newly qualified nurses will be accepted. We would like to receive applications from ambitious and highly motivated nurses that are looking for an opportunity to work at Staff Nurse level within a care home environment. You must have outstanding communication skills, excellent time management skills and flexibility towards working hours. You must be motivated to offer the highest standards of care. The ideal candidate must be empathetic, considerate and reliable and dedicated to the role of working with elderly service users. My client is offering a competitive salary of **** to **** per hour dependant on experience. This is a full time, permanent role on day and night shifts. Please note that my client will be conducting interviews as soon as possible so if you are interested, please submit your CV. For further details please contact Paul Smith at SYK Recruitment Specialists on (Apply online only) or apply via this advert",staff nurs x * * * * rgn heathfield * * * * * * * * p/h,"syk recruit specialist are look for staff nurs to join a medium size care home in heathfield . you must be rgn qualifi . pleas note previou experi work in a nurs home is not requir and newli qualifi nurs will be accept . we would like to receiv applic from ambiti and highli motiv nurs that are look for an opportun to work at staff nurs level within a care home environ . you must have outstand commun skill , excel time manag skill and flexibl toward work hour . you must be motiv to offer the highest standard of care . the ideal candid must be empathet , consider and reliabl and dedic to the role of work with elderli servic user . my client is offer a competit salari of * * * * to * * * * per hour depend on experi . thi is a full time , perman role on day and night shift . pleas note that my client will be conduct interview as soon as possibl so if you are interest , pleas submit your cv . for further detail pleas contact paul smith at syk recruit specialist on ( appli onlin onli ) or appli via thi advert"
13.0,Healthcare_Nursing,Night Care Assistant,70598851,,,night care assist,
14.0,Healthcare_Nursing,"Council Members, Nursing and Midwifery Council",68510120,,,"council member , nurs and midwiferi council",
15.0,Healthcare_Nursing,RGN Sheffield Days **** p/h,66601501,,,rgn sheffield day * * * * p/h,
16.0,Healthcare_Nursing,Registered Nurse (RGN)  Barchester Healthcare  Truro,68728610,Barchester Healthcare,"What is expected of you as a Registered Nurse (RGN)? You are responsible to provide and supervise the delivery of high quality nursing care to residents in accordance with up to date, evidencebased professional practice and company policies. You will be responsible for leading a multidisciplinary team, supervising, training and developing care staff in providing the best quality of care to the people we support. The desire to learn and the ability to inspire your team is therefore essential. Will consider Full and Part Time hours to cover all the available hours. You will be a Qualified Registered Nurse (RGN) and be registered with the NMC. Why join Barchester as a Registered Nurse (RGN)? As market leaders we place our residents first  and our people are the best. You will benefit from a wealth of experience and as a company that places a great emphasis on investing in their people; you will have the opportunity for both personal and professional development. Barchester has its own Learning and Development Academy, giving you the freedom to develop professionally and create your own career pathway  it's just a case of high do you want to climb? How we're different Barchester offers a range of diverse services, from nursing and care services for older people and people living with dementia, to accommodation, supported living and community support for children and adults with a range of different disabilities. With exposure to so many different areas of nursing, you will have the opportunity to build on your clinical skills or focus on a specialist area. Many companies offer management programmes for those already in management positions, with most nurses expected to oversee staff or resources with no management training. Barchester, however, offers management development to staff throughout their careers. These programmes ensure that all staff, particularly nurses, are constantly supported to develop their skills. Benefits include: • Competitive rates of pay • Access to a structured career development path and award winning training via the Barchester Business School which offer a range of training from NVQs to Masters Degrees • Free uniform • Generous Annual Leave Allowance • Employer contribution to a Stakeholder pension plan • Access to Barchester's Shopping Club for hundreds of savings from retail outlets Am I the right person to work for Barchester? A sound understanding of the Care Standards together with a Nursing qualification (RGN) and current NMC registration are essential for this role. • NMC  Nursing Midwifery Council",regist nurs ( rgn ) barchest healthcar truro,"what is expect of you as a regist nurs ( rgn ) ? you are respons to provid and supervis the deliveri of high qualiti nurs care to resid in accord with up to date , evidencebas profession practic and compani polici . you will be respons for lead a multidisciplinari team , supervis , train and develop care staff in provid the best qualiti of care to the peopl we support . the desir to learn and the abil to inspir your team is therefor essenti . will consid full and part time hour to cover all the avail hour . you will be a qualifi regist nurs ( rgn ) and be regist with the nmc . whi join barchest as a regist nurs ( rgn ) ? as market leader we place our resid first and our peopl are the best . you will benefit from a wealth of experi and as a compani that place a great emphasi on invest in their peopl ; you will have the opportun for both person and profession develop . barchest ha it own learn and develop academi , give you the freedom to develop profession and creat your own career pathway it 's just a case of high do you want to climb ? how we 're differ barchest offer a rang of divers servic , from nurs and care servic for older peopl and peopl live with dementia , to accommod , support live and commun support for children and adult with a rang of differ disabl . with exposur to so mani differ area of nurs , you will have the opportun to build on your clinic skill or focu on a specialist area . mani compani offer manag programm for those alreadi in manag posit , with most nurs expect to overse staff or resourc with no manag train . barchest , howev , offer manag develop to staff throughout their career . these programm ensur that all staff , particularli nurs , are constantli support to develop their skill . benefit includ : • competit rate of pay • access to a structur career develop path and award win train via the barchest busi school which offer a rang of train from nvq to master degre • free uniform • gener annual leav allow • employ contribut to a stakehold pension plan • access to barchest 's shop club for hundr of save from retail outlet am i the right person to work for barchest ? a sound understand of the care standard togeth with a nurs qualif ( rgn ) and current nmc registr are essenti for thi role . • nmc nurs midwiferi council"
17.0,Healthcare_Nursing,RGN Home Manager,71080674,,,rgn home manag,
18.0,Healthcare_Nursing,Home Care Worker jobs Bromley,67959741,,,home care worker job bromley,
19.0,Healthcare_Nursing,"FT /PT PERMANENT SALARIED GP REQUIRED IN KENT, **** **** pro rata PLUS",69568022,Merco,"Grade: GP Type: NHS Location: Kent Start Date: January 20****3 Hours: 37.5 Hours per week Pay: **** pro rota, Plus bonus ARE YOU LOOKING FOR A NEW ROLE FOR THE NEW YEAR? MERCO HAS THE FOLLOWING NEW PERMANENT POSITION IN THE KENT AREA: Merco Recruitment is contracted suppliers to many Primary Care providers across the UK. One of our biggest GP clients is looking to fill full time permanent posts for the following new position: Our client is a leading provider of Primary Care services in England. They operate almost 20 sites that include OOHs, Walk in Centre's, Urgent Care Centres and General Practice. Due to planned growth they are keen to hear from GPs interested in taking up salaried posts within Kent area. Permanent position 37.5 hrs per week up to **** plus bonus •MDU paid •5 weeks holiday plus bank holidays •Full NHS pension (14%) •CDP •37.5 hours  **** sessions A bit more about us Merco is recognised as one of the fastest growing medical recruitment agencies in the UK. We have GP jobs available across the UK with NHS and Independent healthcare organisations. We are contracted to provide day to day GP cover to over **** planned and unplanned primary care services across the UK. We can offer you work in: •Private GP, Health screening and Wellness Clinics •General Practice •Walk in Centres •Urgent Care Centres •OOH •HM Prisons •MOD You should register with Merco for your next GP job because: •You will be offered work quickly •You can choose from locum, fixed term and salaried jobs •You get paid well and you get paid weekly •You deal with just 1 person  we're not a call centre •You can register with us in just a few minutes For general information about joining Merco and to discuss suitable work opportunities you should contact our Primary Care Resourcer Yass Bojang on or at","ft /pt perman salari gp requir in kent , * * * * * * * * pro rata plu","grade : gp type : nh locat : kent start date : januari 20 * * * * 3 hour : 37.5 hour per week pay : * * * * pro rota , plu bonu are you look for a new role for the new year ? merco ha the follow new perman posit in the kent area : merco recruit is contract supplier to mani primari care provid across the uk . one of our biggest gp client is look to fill full time perman post for the follow new posit : our client is a lead provid of primari care servic in england . they oper almost 20 site that includ ooh , walk in centr 's , urgent care centr and gener practic . due to plan growth they are keen to hear from gp interest in take up salari post within kent area . perman posit 37.5 hr per week up to * * * * plu bonu •mdu paid •5 week holiday plu bank holiday •full nh pension ( 14 % ) •cdp •37.5 hour * * * * session a bit more about us merco is recognis as one of the fastest grow medic recruit agenc in the uk . we have gp job avail across the uk with nh and independ healthcar organis . we are contract to provid day to day gp cover to over * * * * plan and unplan primari care servic across the uk . we can offer you work in : •privat gp , health screen and well clinic •gener practic •walk in centr •urgent care centr •ooh •hm prison •mod you should regist with merco for your next gp job becaus : •you will be offer work quickli •you can choos from locum , fix term and salari job •you get paid well and you get paid weekli •you deal with just 1 person we 're not a call centr •you can regist with us in just a few minut for gener inform about join merco and to discuss suitabl work opportun you should contact our primari care resourc yass bojang on or at"
